learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
108.0,108.0,66.55504823161449,1.9594064675131182,-176.52021417052,-455.8335618175083,102.0,6.0,68.23621386805252,33.83638166762231,31.76378613194746,66.1636183323777,0.8707512940868205,0.12924870591317933,1511.0,1.232737248E9
109.0,109.0,67.05750900261647,2.1250860848410955,-176.52021417052,-455.83356181750804,103.0,6.0,68.72879848226792,33.83638166762231,31.271201517732056,66.1636183323777,0.8707512940868205,0.12924870591317933,1512.0,1.232742469E9
110.0,110.0,66.0551050296858,1.6939974072197699,-189.25837830235704,-481.43855840574554,104.0,6.0,67.66880813111838,33.83638166762231,32.331191868881575,66.1636183323777,0.8707512940868205,0.12924870591317933,1513.0,1.232742546E9
111.0,111.0,66.56002908216367,1.8543617618380022,-189.25837830235713,-481.438558405746,105.0,6.0,68.16475613516054,33.83638166762231,31.835243864839413,66.1636183323777,0.8707512940868205,0.12924870591317933,1514.0,1.232748611E9
112.0,112.0,67.05502944699103,2.011067280536775,-189.25837830235736,-481.4385584057469,106.0,6.0,68.6505027886068,33.83638166762231,31.349497211393157,66.1636183323777,0.8707512940868205,0.12924870591317933,1515.0,1.232751338E9
113.0,113.0,67.54037156110658,2.164230121428451,-189.2583783023574,-481.4385584057449,107.0,6.0,69.12633585336113,33.83638166762231,30.873664146638834,66.1636183323777,0.8707512940868205,0.12924870591317933,1516.0,1.232752791E9
114.0,114.0,68.01631156026058,2.313961599259469,-189.2583783023572,-481.438558405746,108.0,6.0,69.59253244550979,33.83638166762231,30.407467554490164,66.1636183323777,0.8707512940868205,0.12924870591317933,1517.0,1.232752891E9
115.0,115.0,68.48309668329297,2.4603684354060067,-189.2583783023573,-481.43855840574486,109.0,6.0,70.04935952355298,33.83638166762231,29.950640476446978,66.1636183323777,0.9076650428451162,0.09233495715488395,1478.0,1.232984166E9
116.0,116.0,68.94096565550015,2.603552992540452,-189.25837830235744,-481.4385584057452,110.0,6.0,70.49707435000494,33.83638166762231,29.502925649995,66.1636183323777,0.9095025084924984,0.09049749150750176,1477.0,1.232988919E9
117.0,117.0,69.39014905234141,2.7436134950559885,-189.25837830235744,-481.43855840574486,111.0,6.0,70.93592492804255,33.83638166762231,29.06407507195739,66.1636183323777,0.9095025084924984,0.09049749150750176,1478.0,1.232988953E9
118.0,118.0,69.8308696446516,2.880644236245985,-189.25837830235736,-481.4385584057443,112.0,6.0,71.36615041476138,33.83638166762231,28.63384958523858,66.1636183323777,0.9095025084924984,0.09049749150750176,1479.0,1.232988962E9
119.0,119.0,70.26334272644768,3.014735773158747,-189.2583783023574,-481.4385584057449,113.0,6.0,71.78798151248859,33.83638166762231,28.21201848751137,66.1636183323777,0.9095025084924984,0.09049749150750176,1480.0,1.232988992E9
120.0,120.0,70.68777642634444,3.1459751099739295,-189.25837830235713,-481.4385584057444,114.0,6.0,72.20164083950017,33.83638166762231,27.798359160499782,66.1636183323777,0.9095025084924984,0.09049749150750176,1481.0,1.232989003E9
121.0,121.0,71.10437200352806,3.2744458706820536,-189.25837830235753,-481.43855840574446,115.0,6.0,72.60734328139584,33.83638166762231,27.39265671860412,66.1636183323777,0.9104074834075734,0.08959251659242674,1482.0,1.232995117E9
